"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Variável - Produção (Toneladas)"
"Mês","Unidade da Federação x Produto das lavouras"
"Mês","Rondônia","Acre","Amazonas","Roraima","Pará","Amapá","Tocantins","Maranhão","Piauí","Ceará","Rio Grande do Norte","Paraíba","Pernambuco","Alagoas","Sergipe","Bahia","Minas Gerais","Espírito Santo","Rio de Janeiro","São Paulo","Paraná","Santa Catarina","Rio Grande do Sul","Mato Grosso do Sul","Mato Grosso","Goiás","Distrito Federal"
"Mês","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar"
"julho 2011","-","-","367362","-","711211","-","2163461","2786371","902430","2243123","3581236","6287205","18512467","29391886","3187686","6542843","64417627","4733860","5151280","364285249","54213109","-","1377558","39900000","16367793","55048009","-"
"agosto 2011","-","-","367362","-","711211","-","2168461","2786371","902265","2243123","3580048","6287205","18512467","29391886","3286084","6542843","65728607","4733860","5151280","364285249","51044980","-","1377558","39900000","16367793","55161209","-"
"setembro 2011","-","-","266030","-","711211","-","2168461","2786371","902265","2243123","3581848","6287205","18512467","29342738","3286084","6542843","67043813","4733860","5151280","364285249","50619526","-","1375258","39900000","15151937","55161209","-"
"outubro 2011","-","-","266030","-","711211","-","2164111","2782904","902265","2211107","3581848","6287205","18512467","29342738","3286084","6542843","67991883","4701867","5151280","336640827","50619526","-","1383567","38000000","15151937","55161209","-"
"novembro 2011","-","-","266030","-","711265","-","2164111","2794234","981605","2209849","3581848","6417385","18512467","29342738","3286084","6542843","68008498","4701867","5151280","336640827","50619526","-","1383567","38000000","15151937","55161209","-"
"dezembro 2011","-","-","266030","-","714022","-","2164111","2673761","981605","2209852","3581848","6417385","17747155","29342738","3336034","6542843","67724506","4701867","5151280","323476860","50619526","-","1381567","35500000","15151937","55161209","-"
"janeiro 2012","-","-","327248","-","859660","-","1799748","3049457","982527","2149865","3675089","6185236","17723095","29500000","3168918","4986363","68515326","4720336","5730628","370589843","50582650","-","1392582","42000000","16555879","56350066","-"
"fevereiro 2012","-","-","327248","-","859660","-","1799748","3049705","982527","2149263","3675089","6185236","17723095","29500000","3168918","6847168","68515326","4842592","5698750","420628178","50582650","-","1224747","40500000","16555879","56350066","-"
"março 2012","-","-","327248","-","742978","-","1799748","3204096","981908","2149263","3914867","6185236","17088642","29500000","3168918","6913209","68651122","4850792","5710563","420628178","51640919","-","1131770","40500000","17483780","56350066","-"
"abril 2012","-","-","327248","-","742978","-","1799748","3208841","965580","2145497","3914867","6185236","17088642","29500000","3168918","6913209","70436556","4850792","5710563","420628178","52160305","-","1131770","38600100","17483780","56350066","-"
